Normal_Question,Imposter_Question
أي فترة من التاريخ ودك تعيشها؟,وش زمن في التاريخ يثير اهتمامك؟
وش برنامج أو تطبيق سوشال ميديا تحبه؟,وش مكان رقمي تحس فيه بالانتماء؟
وش أهم صفة تدور عليها في صديق؟,وش أكثر صفة تكرهها في صديق؟
وش أكلة تحب تطبخها أو تخبزها؟,وش وصفة دايم تعطيك راحة؟
كم ساعة تنام عادة؟,اختر رقم من 1 إلى 12
وش مطعم الوجبات السريعة المفضل عندك؟,وش أسوأ مطعم وجبات سريعة؟
أطول مدة جلست فيها بدون نوم؟,اختر رقم من 1 إلى 72
وش أفضل إضافة على البيتزا؟,وش أسوأ إضافة ممكن تنحط على البيتزا؟
كم رقم جوال حافظ؟,اختر رقم من 0 إلى 20
وش تطبيق السوشال ميديا اللي تستخدمه أكثر شي؟,وش تطبيق تحس خلاص قرب ينتهي؟
وش أغرب أكل قد جربته؟,وش أكلة مستحيل تجربها؟
أول شي تسويه الصبح؟,آخر شي تسويه قبل النوم؟
وش مشروبك المفضل؟,وش أكثر مشروب تكرهه؟
وش كان أفضل مادة عندك في المدرسة؟,وش المادة اللي كنت تكرهها؟
كم ساعة تقضيها على الجوال باليوم؟,اختر رقم من 1 إلى 24
وش سناكك المفضل؟,وش سناك ما تشتريه أبداً؟
كم لغة تعرف تتكلم؟,اختر رقم من 1 إلى 10
وش فاكهتك المفضلة؟,وش أكثر فاكهة ما تحبها؟
كم عدد إخوانك؟,اختر رقم من 0 إلى 10
وش أكثر رياضة تحب تشوفها؟,وش رياضة تحسها مملة؟
كم مرة تفرش أسنانك في اليوم؟,اختر رقم من 0 إلى 5
وش أكثر وقت مفضل عندك في اليوم؟,وش أسوأ وقت في اليوم بالنسبة لك؟
كم مرة نقلت بيت في حياتك؟,اختر رقم من 0 إلى 20
وش خضارك المفضل؟,وش خضار تكرهه؟
كم ساعة تقضيها على الإنترنت في اليوم؟,اختر رقم من 1 إلى 24
وش حلاك المفضل؟,وش نوع حلى ما تحبه؟
كم كوب قهوة أو شاهي تشرب باليوم؟,اختر رقم من 0 إلى 15
وش فصلك المفضل من السنة؟,وش فصل تحسه طويل وممل؟
كم دولة زرتها؟,اختر رقم من 0 إلى 50
وش نكهة الآيسكريم المفضلة عندك؟,وش أسوأ نكهة آيسكريم؟
كم زوج أحذية عندك؟,اختر رقم من 1 إلى 30
وش ماركة الجوال المفضلة عندك؟,وش أكثر ماركة جوال الناس يمدحونها زيادة؟
وش مكانك المفضل للاسترخاء؟,وش مكان تبعد عنه إذا تبي راحة؟
كم إشعار ما قريته بجوالك؟,اختر رقم من 0 إلى 500
وش نوع الخبز اللي تحبه؟,وش خبز ما يعجبك؟
وش كرتون طفولة مفضل عندك؟,وش كرتون ما كنت تحبه؟
وش أكثر شي تحب تفطر عليه؟,وش شي تتجنبه في الفطور؟
كم صورة عندك في جوالك تقريباً؟,اختر رقم من 0 إلى 10000
وش لعبة الطاولة أو البورد المفضلة عندك؟,وش لعبة طاولة تحسها مملة؟
كم ساعة تقضيها على الجوال في اليوم؟,اختر رقم من 1 إلى 24
وش فاكهة تحبها؟,وش فاكهة نادراً تاكلها؟
كم زوج أحذية عندك؟,اختر رقم من 1 إلى 30
وش أفضل وجبة أكلتها في حياتك؟,وش وجبة ندمت إنك أكلتها؟
وش كانت مادتك المفضلة في المدرسة؟,وش مادة كنت صعب تفهمها؟
وش أغنية ما تمل منها أبداً؟,وش أغنية مليت منها بسرعة؟
وش مشروبك المفضل مع الأكل؟,وش مشروب مستحيل تطلبه مع الأكل؟
كم مرة تاكل رز في الأسبوع؟,اختر رقم من 0 إلى 20
وش رياضتك المفضلة تلعبها؟,وش رياضة تحب تشوفها بس ما تلعبها؟
كم دولة سافرت لها؟,اختر رقم من 0 إلى 50
كم مرة تاكل برّا في الأسبوع؟,اختر رقم من 0 إلى 20
وش تطبيقك المفضل بالجوال؟,وش تطبيق ما عاد تستخدمه؟
كم مرة ركبت طيارة؟,اختر رقم من 0 إلى 50
وش مسلسلك المفضل؟,وش مسلسل وقفت متابعته؟
كم حيوان ربيته بحياتك؟,اختر رقم من 0 إلى 20
وش أطرف مقطع فيديو شفته؟,وش أكثر ترند فيديو كان مزعج؟
كم رسالة ترسل باليوم؟,اختر رقم من 0 إلى 500
وش أحلى هدية قد جتك؟,وش هدية ما عرفت وش تسوي فيها؟
وش فلم تقدر تعيده بأي وقت؟,وش فلم أعجبك بس ما تعيده مرة ثانية؟
كم مرة تفتح السوشال ميديا باليوم؟,اختر رقم من 1 إلى 100
كم تطبيق محمل في جوالك؟,اختر رقم من 1 إلى 200
أول تطبيق تفتحه إذا صحيت من النوم؟,وش تطبيق نادراً تفتحه؟
كم مرة غيرت تسريحة شعرك؟,اختر رقم من 1 إلى 20
وش مهارة تعلمتها وقت الحجر؟,وش مهارة نفسك تتقنها بس ما تعرفها؟
كم ساعة تقضيها تشوف مقاطع فيديو باليوم؟,اختر رقم من 1 إلى 15
وش أكثر شي تحب تسويه إذا جاء مطر؟,وش شي مستحيل تسويه إذا نزل المطر؟
كم مرة تطلب أكل دليفري في الشهر؟,اختر رقم من 0 إلى 30
وش أكثر شي تسويه قبل لا تنام؟,وش الشي اللي يخليك تسهر وما تنام؟
لو تقدر تسافر أي دولة السنة الجاية، وين بتروح؟,أي دولة مستحيل تزورها؟
وش أفضل شي يتاكل مع الرز؟,وش طبخة رز تحسها مملة؟
وش أفضل شي يتاكل مع البطاطس؟,وش شي ما ينفع ينحط مع البطاطس؟
لو مجبور تاكل وجبة وحدة طول عمرك، أي وجبة تختار؟,وش وجبة بتطفش منها بسرعة؟
كم مرة رحت دكتور أسنان في حياتك؟,اختر رقم من 1 إلى 50
وش أكثر شي تحبه على العشا؟,وش شي تتجنبه في العشا؟
وش مسلسل أو برنامج الناس يحبونه وأنت لا؟,وش مسلسل وقفت متابعته؟
وش نوع الأفلام المفضل عندك؟,وش نوع أفلام مستحيل تشوفه؟
كم مرة أعدت مشاهدة مسلسلك المفضل؟,اختر رقم من 1 إلى 20
وش آخر برنامج أو مسلسل خلاك تبكي؟,وش أكثر فلم حزين قد شفته؟
وش اللعبة اللي أنت شاطر فيها؟,وش لعبة مشهورة وأنت سيء فيها؟
وش مكانك الخارجي المفضل؟,وش مكان خارجي دايم زحمة؟
وش أفضل وقت تطلع فيه برا؟,وش أسوأ وقت تطلع فيه برا؟
وش أكثر شي تحبه إذا كنت برا البيت؟,وش شي يخرب عليك التجربة؟
وش الوقت المفضل عندك للشاور؟,وش أسوأ وقت للشاور؟
وش تسوي إذا كنت منتظر أحد؟,وش تسوي إذا أحد خلاك تنتظر كثير؟
وش الشي اللي دايم تنساه في البيت؟,وش الشي اللي مستحيل تطلع من غيره؟
